epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,363.965,2.70971,1.86961,2.51378,0.76447,0.82898,0.82371,0.51702,2.76097,1.47621,2.49801,0.00055188,0.00055188,0.00055188
64,369.006,2.74716,1.90045,2.52601,0.77396,0.80797,0.82743,0.5231,2.68616,1.49602,2.47185,0.000537733,0.000537733,0.000537733
65,374.058,2.65497,1.81177,2.46096,0.76779,0.8701,0.85869,0.54936,2.538,1.45203,2.40057,0.000523586,0.000523586,0.000523586
66,379.089,2.63482,1.78294,2.46694,0.80145,0.81221,0.85621,0.52194,2.57473,1.54274,2.42078,0.000509438,0.000509438,0.000509438
67,384.37,2.56431,1.75685,2.42079,0.79823,0.81449,0.85993,0.55945,2.40027,1.47072,2.33505,0.000495291,0.000495291,0.000495291
68,389.903,2.58472,1.67295,2.39566,0.81217,0.81001,0.86563,0.56004,2.46277,1.47579,2.36658,0.000481144,0.000481144,0.000481144
69,395.238,2.57802,1.68918,2.4091,0.8312,0.7913,0.85242,0.51672,2.69759,1.4894,2.47806,0.000466997,0.000466997,0.000466997
70,400.468,2.59857,1.68565,2.42554,0.77383,0.83653,0.84454,0.55276,2.38334,1.45696,2.34002,0.00045285,0.00045285,0.00045285
71,405.621,2.61153,1.71773,2.44779,0.77146,0.83552,0.82136,0.52964,2.54419,1.44523,2.40729,0.000438703,0.000438703,0.000438703
72,411.045,2.4969,1.61862,2.38355,0.80029,0.827,0.86392,0.56705,2.35342,1.39802,2.32495,0.000424556,0.000424556,0.000424556
73,416.222,2.49333,1.67899,2.41785,0.78961,0.84306,0.86437,0.54954,2.53709,1.45794,2.39989,0.000410409,0.000410409,0.000410409
74,421.171,2.54535,1.66487,2.41105,0.80081,0.81334,0.85491,0.53223,2.6566,1.50891,2.45746,0.000396262,0.000396262,0.000396262
75,426.103,2.59292,1.73,2.40547,0.78554,0.82923,0.86051,0.55892,2.40198,1.46944,2.35395,0.000382115,0.000382115,0.000382115
76,431.069,2.62868,1.7657,2.45105,0.78756,0.84003,0.86189,0.55407,2.39408,1.44497,2.34442,0.000367967,0.000367967,0.000367967
77,436.188,2.53524,1.69525,2.40585,0.80485,0.79676,0.83467,0.49026,2.75718,1.50375,2.49785,0.00035382,0.00035382,0.00035382
78,441.204,2.57449,1.78116,2.46068,0.79961,0.81604,0.86482,0.56715,2.37317,1.40847,2.34469,0.000339673,0.000339673,0.000339673
79,446.199,2.49872,1.66208,2.40014,0.77374,0.8075,0.84437,0.55417,2.49511,1.48614,2.40165,0.000325526,0.000325526,0.000325526
80,451.272,2.46885,1.62493,2.38682,0.80106,0.83768,0.86305,0.55539,2.46459,1.46235,2.37161,0.000311379,0.000311379,0.000311379
